date,symbol,actual_price,predicted_price,floating_pnl,realized_pnl,position_size,action
2025-02-05,TWDUSD=X,0.030402896925807,0.0302040792168893,0.0,0.0,0.0,OPEN_SHORT
2025-02-06,TWDUSD=X,0.0304675549268722,0.0302917235559881,-0.0646580010652542,0.0,-1000.0,ADD_SHORT
2025-02-07,TWDUSD=X,0.0304915215820074,0.0303561752048075,-0.1125913113355636,0.0,-2000.0,ADD_SHORT
2025-02-10,TWDUSD=X,0.0304618943482637,0.0303800484735493,-0.0237096101045608,0.0,-3000.0,HOLD
2025-02-11,TWDUSD=X,0.030427137389779,0.0303504050128602,0.0805612653493881,0.0,-3000.0,HOLD
2025-02-12,TWDUSD=X,0.030484739691019,0.0303156593358558,-0.0922456383705139,0.0,-3000.0,HOLD
2025-02-13,TWDUSD=X,0.0304360259324312,0.0303729632167233,0.0538956373929977,0.0,-3000.0,HOLD
2025-02-14,TWDUSD=X,0.0306604579091072,0.0303243685400973,0.0,-0.619400292634964,-3000.0,OPEN_SHORT
2025-02-17,TWDUSD=X,0.0306133367121219,0.0305479773947901,0.0471211969852447,0.0,-1000.0,ADD_SHORT
2025-02-18,TWDUSD=X,0.0305748693645,0.0305009043341547,0.1240558922290802,0.0,-2000.0,ADD_SHORT
2025-02-19,TWDUSD=X,0.0305611342191696,0.0304623667344074,0.1652613282203639,0.0,-3000.0,HOLD
2025-02-20,TWDUSD=X,0.0305378939956426,0.0304484318743151,0.2349819988012279,0.0,-3000.0,HOLD
2025-02-21,TWDUSD=X,0.0305873081088066,0.0304250329321421,0.0867396593093837,0.0,-3000.0,HOLD
2025-02-24,TWDUSD=X,0.030512923374772,0.0304741727787517,0.3098938614129986,0.0,-3000.0,HOLD
2025-02-25,TWDUSD=X,0.0305813215672969,0.0304001068340711,0.1046992838382686,0.0,-3000.0,HOLD
2025-02-26,TWDUSD=X,0.0305079873651266,0.0304682851932637,0.3247018903493847,0.0,-3000.0,HOLD
2025-02-27,TWDUSD=X,0.0305340699851512,0.0303952667510122,0.2464540302753413,0.0,-3000.0,HOLD
2025-02-28,TWDUSD=X,0.0303935669362545,0.0304212507913309,0.0,0.6679631769657101,-3000.0,CLOSE
2025-03-03,TWDUSD=X,0.0303905196487903,0.0302812411620242,0.0,0.0,0.0,OPEN_SHORT
2025-03-04,TWDUSD=X,0.0304053947329521,0.0302783931382703,-0.0148750841617584,0.0,-1000.0,ADD_SHORT
2025-03-05,TWDUSD=X,0.0304926391690969,0.0302931024927667,-0.189363956451416,0.0,-2000.0,ADD_SHORT
2025-03-06,TWDUSD=X,0.0304867811501026,0.0303800048584223,-0.1717898994684219,0.0,-3000.0,HOLD
2025-03-07,TWDUSD=X,0.0304340831935405,0.0303741191716905,-0.0136960297822952,0.0,-3000.0,HOLD
2025-03-10,TWDUSD=X,0.0304627288132905,0.0303216292577745,-0.0996328890323638,0.0,-3000.0,HOLD
2025-03-11,TWDUSD=X,0.030426025390625,0.0303500864111472,0.0104773789644241,0.0,-3000.0,HOLD
2025-03-12,TWDUSD=X,0.0304239876568317,0.0303133281158068,0.0165905803442001,0.0,-3000.0,HOLD
2025-03-13,TWDUSD=X,0.0303893182426691,0.030311066560845,0.1205988228321075,0.0,-3000.0,HOLD
2025-03-14,TWDUSD=X,0.030332077294588,0.0302763356918196,0.2923216670751571,0.0,-3000.0,HOLD
2025-03-17,TWDUSD=X,0.0303711369633674,0.0302191642196277,0.1751426607370376,0.0,-3000.0,HOLD
2025-03-18,TWDUSD=X,0.0303431190550327,0.0302578533568865,0.2591963857412338,0.0,-3000.0,HOLD
2025-03-19,TWDUSD=X,0.0303221438080072,0.0302297105863261,0.3221221268177032,0.0,-3000.0,HOLD
2025-03-20,TWDUSD=X,0.0303000006824731,0.0302086541585416,0.3885515034198761,0.0,-3000.0,HOLD
2025-03-21,TWDUSD=X,0.0303146969527006,0.0301865498002656,0.3444626927375793,0.0,-3000.0,HOLD
2025-03-24,TWDUSD=X,0.0303260050714015,0.0302012906982386,0.3105383366346359,0.0,-3000.0,HOLD
2025-03-25,TWDUSD=X,0.0302926581352949,0.0302125777575731,0.4105791449546814,0.0,-3000.0,HOLD
2025-03-26,TWDUSD=X,0.0302614904940128,0.0301794351461869,0.5040820688009262,0.0,-3000.0,HOLD
2025-03-27,TWDUSD=X,0.0302219800651073,0.0301484740441297,0.6226133555173874,0.0,-3000.0,HOLD
2025-03-28,TWDUSD=X,0.0302010774612426,0.0301093330649208,0.6853211671113968,0.0,-3000.0,HOLD
2025-03-31,TWDUSD=X,0.0301333721727132,0.0300886306324577,0.888437032699585,0.0,-3000.0,HOLD
2025-04-01,TWDUSD=X,0.0300850495696067,0.0300212896304223,0.0,1.0334048420190811,-3000.0,OPEN_SHORT
2025-04-02,TWDUSD=X,0.0301173087209463,0.0299731281465086,-0.0322591513395309,0.0,-1000.0,ADD_SHORT
2025-04-03,TWDUSD=X,0.030063884332776,0.0300053012410897,0.0745896250009536,0.0,-2000.0,ADD_SHORT
2025-04-04,TWDUSD=X,0.0302744973450899,0.0299522633303888,0.0,-0.5572494119405712,-3000.0,OPEN_SHORT
2025-04-07,TWDUSD=X,0.0301545429974794,0.030162276492188,0.0,0.1199543476104736,-1000.0,CLOSE
2025-04-08,TWDUSD=X,0.0303213167935609,0.0300428247623568,0.0,0.0,0.0,OPEN_SHORT
2025-04-09,TWDUSD=X,0.0302291065454483,0.0302090315524313,0.0922102481126785,0.0,-1000.0,ADD_SHORT
2025-04-10,TWDUSD=X,0.0306860469281673,0.0301171976960729,0.0,-0.8216705173254013,-2000.0,OPEN_SHORT
2025-04-11,TWDUSD=X,0.0305005442351102,0.0305725858496807,0.0,0.1855026930570602,-1000.0,CLOSE
